async_gpu0_utilization,async_gpu1_utilization,sync_gpu0_utilization,sync_gpu1_utilization
18.0,17.0,40,0
51.0,95.0,35,0
95.0,91.0,46,0
98.0,43.0,16,0
82.0,90.0,16,19
96.0,96.0,16,48
97.0,96.0,58,51
96.0,96.0,17,33
62.0,96.0,44,54
88.0,86.0,48,60
97.0,96.0,49,54
96.0,96.0,57,54
95.0,95.0,44,55
96.0,96.0,24,65
99.0,96.0,54,47
98.0,92.0,51,56
99.0,96.0,47,57
84.0,96.0,48,52
98.0,96.0,42,43
96.0,96.0,52,40
97.0,96.0,48,38
98.0,97.0,31,40
64.0,91.0,54,55
95.0,89.0,83,23
95.0,96.0,64,46
96.0,97.0,44,45
96.0,97.0,72,56
96.0,97.0,66,46
90.0,60.0,44,51
74.0,96.0,60,62
97.0,90.0,53,60
99.0,91.0,40,54
94.0,97.0,44,54
95.0,97.0,54,44
96.0,96.0,40,35
98.0,96.0,41,52
96.0,96.0,42,50
98.0,96.0,66,36
96.0,88.0,55,42
99.0,97.0,50,62
78.0,96.0,48,37
95.0,94.0,44,59
96.0,92.0,46,53
97.0,85.0,49,50
96.0,97.0,54,48
93.0,61.0,60,56
98.0,96.0,50,45
96.0,97.0,66,50
98.0,97.0,48,42
60.0,97.0,66,52
97.0,40.0,73,55
96.0,97.0,61,53
97.0,97.0,46,41
96.0,97.0,55,44
48.0,96.0,83,52
96.0,88.0,58,56
96.0,97.0,53,52
88.0,96.0,37,28
99.0,96.0,47,56
96.0,96.0,64,57
97.0,96.0,55,41
96.0,97.0,48,43
97.0,97.0,51,46
97.0,97.0,82,45
94.0,95.0,38,52
80.0,91.0,42,30
88.0,85.0,49,42
95.0,85.0,41,35
94.0,98.0,42,44
91.0,83.0,56,52
83.0,93.0,50,44
86.0,85.0,50,54
87.0,85.0,55,63
94.0,86.0,57,46
86.0,84.0,58,56
87.0,95.0,64,50
84.0,84.0,55,48
98.0,88.0,65,50
87.0,86.0,20,19
89.0,94.0,36,49
89.0,87.0,38,47
90.0,98.0,46,57
80.0,81.0,53,39
91.0,89.0,56,61
98.0,86.0,54,47
84.0,87.0,47,64
91.0,94.0,43,45
90.0,87.0,56,50
90.0,95.0,49,34
82.0,95.0,57,46
83.0,93.0,54,32
91.0,80.0,63,52
97.0,98.0,50,51
80.0,80.0,58,58
81.0,96.0,58,56
84.0,87.0,46,44
95.0,88.0,63,52
96.0,90.0,46,37
80.0,93.0,0,0
89.0,95.0,0,0
89.0,87.0,0,0
80.0,86.0,53,36
84.0,86.0,38,56
97.0,92.0,44,49
93.0,98.0,57,52
98.0,86.0,64,42
98.0,90.0,61,39
83.0,93.0,18,17
81.0,87.0,48,50
90.0,90.0,42,45
97.0,98.0,48,53
98.0,93.0,53,57
80.0,92.0,44,35
83.0,96.0,54,35
92.0,92.0,58,30
98.0,93.0,44,54
87.0,91.0,58,55
81.0,98.0,45,48
91.0,95.0,49,58
81.0,90.0,62,53
94.0,85.0,39,50
98.0,96.0,77,51
90.0,90.0,51,61
96.0,90.0,66,50
98.0,84.0,52,56
95.0,96.0,47,49
81.0,82.0,44,49
91.0,95.0,32,61
76.0,87.0,44,55
84.0,84.0,44,34
86.0,83.0,53,52
92.0,94.0,59,49
98.0,83.0,46,49
84.0,74.0,68,45
95.0,84.0,45,59
87.0,97.0,59,36
92.0,92.0,63,55
97.0,87.0,66,32
88.0,98.0,52,46
74.0,85.0,62,35
90.0,83.0,49,60
94.0,85.0,64,53
95.0,90.0,44,30
86.0,91.0,79,55
98.0,89.0,62,44
84.0,87.0,48,52
84.0,81.0,64,46
89.0,85.0,63,25
90.0,98.0,47,54
84.0,86.0,74,69
96.0,83.0,51,47
91.0,96.0,65,54
84.0,82.0,66,36
86.0,93.0,42,66
94.0,80.0,30,44
90.0,96.0,46,39
97.0,89.0,67,64
81.0,89.0,44,43
85.0,82.0,45,20
79.0,83.0,36,55
88.0,92.0,50,43
85.0,94.0,25,50
88.0,81.0,52,53
94.0,86.0,45,54
87.0,93.0,0,0
87.0,96.0,0,0
91.0,80.0,13,13
81.0,96.0,62,47
92.0,82.0,62,42
97.0,85.0,3,52
98.0,82.0,65,50
96.0,81.0,59,63
80.0,95.0,27,36
89.0,82.0,70,53
80.0,97.0,49,47
86.0,90.0,49,48
93.0,94.0,40,39
96.0,95.0,47,47
89.0,98.0,38,40
89.0,86.0,51,55
84.0,86.0,62,52
93.0,97.0,42,58
88.0,90.0,65,62
86.0,90.0,45,45
89.0,90.0,53,53
83.0,90.0,58,51
86.0,96.0,68,37
81.0,95.0,22,0
84.0,89.0,66,44
81.0,84.0,19,24
88.0,81.0,60,40
81.0,80.0,40,39
85.0,98.0,57,53
98.0,98.0,49,46
88.0,95.0,17,59
92.0,96.0,52,55
93.0,97.0,48,56
98.0,86.0,52,42
97.0,88.0,58,50
91.0,81.0,51,55
94.0,81.0,35,50
91.0,97.0,50,51
98.0,96.0,48,53
81.0,90.0,45,37
96.0,86.0,62,40
82.0,85.0,36,51
87.0,97.0,52,55
96.0,83.0,100,57
96.0,96.0,58,55
89.0,94.0,44,42
83.0,94.0,37,54
98.0,98.0,53,60
88.0,96.0,50,51
88.0,89.0,58,59
85.0,91.0,46,36
87.0,90.0,64,53
91.0,82.0,51,38
87.0,81.0,53,46
93.0,94.0,49,36
96.0,95.0,60,64
97.0,90.0,60,55
85.0,96.0,63,46
86.0,88.0,61,49
94.0,91.0,48,33
91.0,87.0,58,49
80.0,93.0,53,49
94.0,86.0,52,57
80.0,89.0,51,51
89.0,67.0,49,49
89.0,88.0,23,48
83.0,87.0,54,50
96.0,82.0,0,63
98.0,89.0,0,0
84.0,90.0,0,16
85.0,96.0,0,0
97.0,81.0,0,51
85.0,93.0,0,63
89.0,95.0,0,47
84.0,89.0,0,45
71.0,89.0,0,57
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
