timestamp,cpu_utilization,gpu1_utilization
2024-02-29 04:46:51,3.1,0.0
2024-02-29 04:46:53,3.9,17.0
2024-02-29 04:46:57,4.0,95.0
2024-02-29 04:47:00,4.3,91.0
2024-02-29 04:47:05,4.6,43.0
2024-02-29 04:47:08,4.8,90.0
2024-02-29 04:47:13,4.7,96.0
2024-02-29 04:47:19,4.1,96.0
2024-02-29 04:47:25,4.1,96.0
2024-02-29 04:47:29,4.2,96.0
2024-02-29 04:47:34,3.8,86.0
2024-02-29 04:47:40,3.7,96.0
2024-02-29 04:47:44,3.9,96.0
2024-02-29 04:47:50,3.9,95.0
2024-02-29 04:47:53,4.0,96.0
2024-02-29 04:47:59,3.9,96.0
2024-02-29 04:48:01,3.9,92.0
2024-02-29 04:48:06,3.9,96.0
2024-02-29 04:48:09,4.1,96.0
2024-02-29 04:48:15,3.8,96.0
2024-02-29 04:48:22,3.9,96.0
2024-02-29 04:48:27,4.1,96.0
2024-02-29 04:48:29,4.1,97.0
2024-02-29 04:48:32,3.9,91.0
2024-02-29 04:48:37,5.5,89.0
2024-02-29 04:48:39,4.3,96.0
2024-02-29 04:48:45,4.2,97.0
2024-02-29 04:48:49,4.0,97.0
2024-02-29 04:48:53,4.0,97.0
2024-02-29 04:48:56,4.1,60.0
2024-02-29 04:49:02,3.8,96.0
2024-02-29 04:49:09,3.9,90.0
2024-02-29 04:49:14,4.0,91.0
2024-02-29 04:49:17,4.1,97.0
2024-02-29 04:49:23,4.4,97.0
2024-02-29 04:49:26,3.9,96.0
2024-02-29 04:49:32,4.1,96.0
2024-02-29 04:49:34,4.1,96.0
2024-02-29 04:49:41,3.9,96.0
2024-02-29 04:49:48,4.6,88.0
2024-02-29 04:49:50,4.6,97.0
2024-02-29 04:49:57,3.9,96.0
2024-02-29 04:49:59,4.1,94.0
2024-02-29 04:50:05,4.0,92.0
2024-02-29 04:50:07,4.1,85.0
2024-02-29 04:50:13,4.1,97.0
2024-02-29 04:50:15,4.1,61.0
2024-02-29 04:50:22,3.8,96.0
2024-02-29 04:50:28,4.1,97.0
2024-02-29 04:50:32,4.1,97.0
2024-02-29 04:50:39,3.9,97.0
2024-02-29 04:50:44,3.9,40.0
2024-02-29 04:50:47,4.0,97.0
2024-02-29 04:50:54,4.0,97.0
2024-02-29 04:50:56,4.1,97.0
2024-02-29 04:51:01,4.0,96.0
2024-02-29 04:51:03,4.1,88.0
2024-02-29 04:51:08,4.2,97.0
2024-02-29 04:51:15,4.1,96.0
2024-02-29 04:51:22,4.2,96.0
2024-02-29 04:51:24,4.4,96.0
2024-02-29 04:51:30,4.2,96.0
2024-02-29 04:51:33,4.2,97.0
2024-02-29 04:51:38,4.4,97.0
2024-02-29 04:51:46,4.4,97.0
2024-02-29 04:51:54,3.4,0.0
2024-02-29 04:51:58,3.0,0.0
2024-02-29 04:52:01,2.5,0.0
2024-02-29 04:52:04,0.8,0.0
2024-02-29 04:52:07,0.8,0.0
2024-02-29 04:52:11,0.8,0.0
2024-02-29 04:52:13,0.8,0.0
2024-02-29 04:52:16,0.8,0.0
2024-02-29 04:52:19,0.8,0.0
2024-02-29 04:52:22,0.7,0.0
2024-02-29 04:52:25,0.8,0.0
2024-02-29 04:52:28,0.7,0.0
2024-02-29 04:52:30,0.8,0.0
2024-02-29 04:52:34,0.7,0.0
2024-02-29 04:52:36,0.9,0.0
2024-02-29 04:52:39,0.7,0.0
2024-02-29 04:52:42,0.9,0.0
2024-02-29 04:52:45,0.7,0.0
2024-02-29 04:52:48,0.8,0.0
2024-02-29 04:52:51,0.7,0.0
2024-02-29 04:52:53,0.8,0.0
2024-02-29 04:52:56,0.8,0.0
