timestamp,cpu_utilization,gpu1_utilization
2024-02-29 06:22:30,2.3,0.0
2024-02-29 06:22:32,2.6,0.0
2024-02-29 06:22:34,2.6,0.0
2024-02-29 06:22:36,2.4,0.0
2024-02-29 06:22:39,2.6,0.0
2024-02-29 06:22:42,3.8,19.0
2024-02-29 06:22:44,4.1,48.0
2024-02-29 06:22:46,3.3,51.0
2024-02-29 06:22:48,3.3,33.0
2024-02-29 06:22:50,3.5,54.0
2024-02-29 06:22:53,3.2,60.0
2024-02-29 06:22:55,3.3,54.0
2024-02-29 06:22:58,3.3,54.0
2024-02-29 06:23:01,3.1,55.00000000000001
2024-02-29 06:23:03,3.7,65.0
2024-02-29 06:23:05,3.2,47.0
2024-02-29 06:23:07,3.3,56.00000000000001
2024-02-29 06:23:09,3.6,56.99999999999999
2024-02-29 06:23:12,3.2,52.0
2024-02-29 06:23:14,3.2,43.0
2024-02-29 06:23:17,3.3,40.0
2024-02-29 06:23:20,3.0,38.0
2024-02-29 06:23:22,3.9,40.0
2024-02-29 06:23:24,3.2,55.00000000000001
2024-02-29 06:23:26,3.3,23.0
2024-02-29 06:23:28,3.7,46.0
2024-02-29 06:23:31,3.2,45.0
2024-02-29 06:23:33,3.3,56.00000000000001
2024-02-29 06:23:36,3.3,46.0
2024-02-29 06:23:39,3.3,51.0
2024-02-29 06:23:41,3.8,62.0
2024-02-29 06:23:43,3.5,60.0
2024-02-29 06:23:45,3.3,54.0
2024-02-29 06:23:47,3.8,54.0
2024-02-29 06:23:50,3.3,44.0
2024-02-29 06:23:52,3.3,35.0
2024-02-29 06:23:56,3.3,52.0
2024-02-29 06:23:58,3.2,50.0
2024-02-29 06:24:00,4.0,36.0
2024-02-29 06:24:02,3.4,42.0
2024-02-29 06:24:04,3.2,62.0
2024-02-29 06:24:07,3.6,37.0
2024-02-29 06:24:09,3.3,59.0
2024-02-29 06:24:11,3.4,53.0
2024-02-29 06:24:15,3.2,50.0
2024-02-29 06:24:17,3.5,48.0
2024-02-29 06:24:19,4.1,56.00000000000001
2024-02-29 06:24:21,3.6,45.0
2024-02-29 06:24:23,3.3,50.0
2024-02-29 06:24:26,3.8,42.0
2024-02-29 06:24:28,3.5,52.0
2024-02-29 06:24:30,3.2,55.00000000000001
2024-02-29 06:24:32,3.7,53.0
2024-02-29 06:24:35,3.1,41.0
2024-02-29 06:24:37,3.3,44.0
2024-02-29 06:24:40,3.2,52.0
2024-02-29 06:24:43,3.0,56.00000000000001
2024-02-29 06:24:45,3.9,52.0
2024-02-29 06:24:47,3.2,28.000000000000004
2024-02-29 06:24:49,3.2,56.00000000000001
2024-02-29 06:24:53,3.3,56.99999999999999
2024-02-29 06:24:55,3.1,41.0
2024-02-29 06:24:57,4.0,43.0
2024-02-29 06:24:59,3.4,46.0
2024-02-29 06:25:02,3.5,45.0
2024-02-29 06:25:04,3.7,52.0
2024-02-29 06:25:06,3.3,30.0
2024-02-29 06:25:08,3.3,42.0
2024-02-29 06:25:12,3.4,35.0
2024-02-29 06:25:14,3.4,44.0
2024-02-29 06:25:16,3.9,52.0
2024-02-29 06:25:18,3.3,44.0
2024-02-29 06:25:21,3.4,54.0
2024-02-29 06:25:23,4.2,63.0
2024-02-29 06:25:25,3.4,46.0
2024-02-29 06:25:27,3.3,56.00000000000001
2024-02-29 06:25:31,3.3,50.0
2024-02-29 06:25:33,3.4,48.0
2024-02-29 06:25:35,4.1,50.0
2024-02-29 06:25:37,3.4,19.0
2024-02-29 06:25:40,3.3,49.0
2024-02-29 06:25:42,3.5,47.0
2024-02-29 06:25:44,3.3,56.99999999999999
2024-02-29 06:25:46,3.1,39.0
2024-02-29 06:25:48,3.9,61.0
2024-02-29 06:25:51,3.1,47.0
2024-02-29 06:25:53,3.6,64.0
2024-02-29 06:25:56,3.1,45.0
2024-02-29 06:25:59,3.3,50.0
2024-02-29 06:26:01,4.2,34.0
2024-02-29 06:26:03,3.5,46.0
2024-02-29 06:26:05,3.1,32.0
2024-02-29 06:26:08,3.6,52.0
2024-02-29 06:26:10,3.3,51.0
2024-02-29 06:26:12,3.4,57.99999999999999
2024-02-29 06:26:16,3.2,56.00000000000001
2024-02-29 06:26:18,3.4,44.0
2024-02-29 06:26:20,4.1,52.0
2024-02-29 06:26:22,3.2,37.0
2024-02-29 06:26:24,2.9,0.0
2024-02-29 06:26:27,2.9,0.0
2024-02-29 06:26:29,2.2,0.0
2024-02-29 06:26:31,3.2,36.0
2024-02-29 06:26:34,3.0,56.00000000000001
2024-02-29 06:26:37,3.3,49.0
2024-02-29 06:26:39,4.0,52.0
2024-02-29 06:26:41,3.2,42.0
2024-02-29 06:26:43,3.4,39.0
2024-02-29 06:26:46,3.3,17.0
2024-02-29 06:26:48,3.3,50.0
2024-02-29 06:26:50,3.4,45.0
2024-02-29 06:26:53,3.2,53.0
2024-02-29 06:26:56,3.3,56.99999999999999
2024-02-29 06:26:58,4.0,35.0
2024-02-29 06:27:00,3.1,35.0
2024-02-29 06:27:02,3.3,30.0
2024-02-29 06:27:05,3.9,54.0
2024-02-29 06:27:07,3.3,55.00000000000001
2024-02-29 06:27:09,3.3,48.0
2024-02-29 06:27:13,3.3,57.99999999999999
2024-02-29 06:27:15,3.2,53.0
2024-02-29 06:27:17,4.1,50.0
2024-02-29 06:27:19,3.4,51.0
2024-02-29 06:27:22,3.2,61.0
2024-02-29 06:27:24,3.8,50.0
2024-02-29 06:27:26,3.1,56.00000000000001
2024-02-29 06:27:28,3.3,49.0
2024-02-29 06:27:30,3.4,49.0
2024-02-29 06:27:33,3.3,61.0
2024-02-29 06:27:35,3.4,55.00000000000001
2024-02-29 06:27:38,3.2,34.0
2024-02-29 06:27:41,3.1,52.0
2024-02-29 06:27:43,4.2,49.0
2024-02-29 06:27:45,3.5,49.0
2024-02-29 06:27:47,3.4,45.0
2024-02-29 06:27:50,3.8,59.0
2024-02-29 06:27:52,3.2,36.0
2024-02-29 06:27:54,3.2,55.00000000000001
2024-02-29 06:27:56,3.6,32.0
2024-02-29 06:27:58,3.2,46.0
2024-02-29 06:28:01,3.4,35.0
2024-02-29 06:28:04,3.2,60.0
2024-02-29 06:28:06,3.2,53.0
2024-02-29 06:28:09,4.0,30.0
2024-02-29 06:28:11,3.0,55.00000000000001
2024-02-29 06:28:13,3.4,44.0
2024-02-29 06:28:15,3.9,52.0
2024-02-29 06:28:18,3.2,46.0
2024-02-29 06:28:20,3.3,25.0
2024-02-29 06:28:23,3.4,54.0
2024-02-29 06:28:26,3.4,69.0
2024-02-29 06:28:28,4.3,47.0
2024-02-29 06:28:30,3.5,54.0
2024-02-29 06:28:32,3.3,36.0
2024-02-29 06:28:35,3.9,66.0
2024-02-29 06:28:37,3.5,44.0
2024-02-29 06:28:39,3.1,39.0
2024-02-29 06:28:41,3.8,64.0
2024-02-29 06:28:43,3.3,43.0
2024-02-29 06:28:46,3.2,20.0
2024-02-29 06:28:49,3.2,55.00000000000001
2024-02-29 06:28:51,3.2,43.0
2024-02-29 06:28:54,4.0,50.0
2024-02-29 06:28:56,3.2,53.0
2024-02-29 06:28:58,3.3,54.0
2024-02-29 06:29:00,2.4,0.0
2024-02-29 06:29:03,2.5,0.0
2024-02-29 06:29:05,2.3,13.0
